COOPID, YEAR, MONTH, DAY, meanTemp
88788,2024,6,20,84.5
88788,2024,6,21,82.5
88788,2024,6,22,84.5
88788,2024,6,23,84
88788,2024,6,24,83.5
88788,2024,6,25,85.5
88788,2024,6,26,85
88788,2024,6,27,84.5
88788,2024,6,28,83.5
88788,2024,6,29,83.5
88788,2024,6,30,85
88788,2024,7,1,83.5
88788,2024,7,2,86
88788,2024,7,3,85.5
88788,2024,7,4,85
88788,2024,7,5,87
88788,2024,7,6,84
88788,2024,7,7,87
88788,2024,7,8,85.5
88788,2024,7,9,84
88788,2024,7,10,87
88788,2024,7,11,82.5
88788,2024,7,12,83.5
88788,2024,7,13,85
88788,2024,7,14,84.5
88788,2024,7,15,84.5
88788,2024,7,16,85
88788,2024,7,17,84.5
88788,2024,7,18,84.5
88788,2024,7,19,84.5
88788,2024,7,20,85
88788,2024,7,21,86
88788,2024,7,22,86
88788,2024,7,23,84.5
88788,2024,7,24,86
88788,2024,7,25,85.5
88788,2024,7,26,85
88788,2024,7,27,85.5
88788,2024,7,28,84
88788,2024,7,29,83.5
88788,2024,7,30,86
88788,2024,7,31,84.5
88788,2024,8,1,85.5
88788,2024,8,2,84.5
88788,2024,8,3,84
88788,2024,8,4,79
88788,2024,8,5,81.5
88788,2024,8,6,85
88788,2024,8,7,87.5
88788,2024,8,8,88
88788,2024,8,9,87
88788,2024,8,10,85.5
88788,2024,8,11,85.5
88788,2024,8,12,85.5
88788,2024,8,13,86.5
88788,2024,8,14,84.5
88788,2024,8,15,86
88788,2024,8,16,85
88788,2024,8,17,83
88788,2024,8,18,84
88788,2024,8,19,86
88788,2024,8,20,86
88788,2024,8,21,85.5
88788,2024,8,22,78
88788,2024,8,23,83.5
88788,2024,8,24,83
88788,2024,8,25,84.5
88788,2024,8,26,84
88788,2024,8,27,86
88788,2024,8,28,85.5
88788,2024,8,29,85
88788,2024,8,30,85
88788,2024,8,31,85
88788,2024,9,1,84
88788,2024,9,2,83.5
88788,2024,9,3,83
88788,2024,9,4,83.5
88788,2024,9,5,84.5
88788,2024,9,6,84
88788,2024,9,7,85
88788,2024,9,8,85
88788,2024,9,9,86
88788,2024,9,10,83.5
88788,2024,9,11,85.5
88788,2024,9,12,84
88788,2024,9,13,85
88788,2024,9,14,83
88788,2024,9,15,83.5
88788,2024,9,16,83
88788,2024,9,17,82.5
88788,2024,9,18,84
88788,2024,9,19,83
88788,2024,9,20,84.5
88788,2024,9,21,84
88788,2024,9,22,83.5
88788,2024,9,23,85.5
88788,2024,9,24,86.5
88788,2024,9,25,83
88788,2024,9,26,82.5
88788,2024,9,27,84
88788,2024,9,28,82.5
88788,2024,9,29,84
88788,2024,9,30,85.5
88788,2024,10,1,83.5
88788,2024,10,2,85
88788,2024,10,3,84
88788,2024,10,4,84.5
88788,2024,10,5,84
88788,2024,10,6,76.5
88788,2024,10,7,76.5
88788,2024,10,8,79
88788,2024,10,9,73.5
88788,2024,10,10,74.5
88788,2024,10,11,75.5
88788,2024,10,12,76
88788,2024,10,13,77.5
88788,2024,10,14,77
88788,2024,10,15,78.5
88788,2024,10,16,68.5
88788,2024,10,17,66
88788,2024,10,18,69.5
88788,2024,10,19,75
88788,2024,10,20,75.5
88788,2024,10,21,77
88788,2024,10,22,78.5
88788,2024,10,23,78
88788,2024,10,24,76
88788,2024,10,25,76.5
88788,2024,10,26,77
88788,2024,10,27,76
88788,2024,10,28,76.5
88788,2024,10,29,77.5
88788,2024,10,30,79.5
88788,2024,10,31,78
88788,2024,11,1,79
88788,2024,11,2,79.5
88788,2024,11,3,80
88788,2024,11,4,78.5
88788,2024,11,5,78.5
88788,2024,11,6,84.5
88788,2024,11,7,82
88788,2024,11,8,81
88788,2024,11,9,79.5
88788,2024,11,10,80
88788,2024,11,11,78
88788,2024,11,12,81
88788,2024,11,13,79.5
88788,2024,11,14,76.5
88788,2024,11,15,72.5
88788,2024,11,16,70
88788,2024,11,17,73
88788,2024,11,18,73.5
88788,2024,11,19,75.5
88788,2024,11,20,74.5
88788,2024,11,21,63
88788,2024,11,22,60
88788,2024,11,23,60
88788,2024,11,24,60.5
88788,2024,11,25,64
88788,2024,11,26,66
88788,2024,11,27,67
88788,2024,11,28,69
88788,2024,11,29,65.5
88788,2024,11,30,58
88788,2024,12,1,56.5
88788,2024,12,2,56.5
88788,2024,12,3,54.5
88788,2024,12,4,55
88788,2024,12,5,59
88788,2024,12,6,63
88788,2024,12,7,57.5
88788,2024,12,8,63.5
88788,2024,12,9,67
88788,2024,12,10,70.5
88788,2024,12,11,63.5
88788,2024,12,12,53.5
88788,2024,12,13,60.5
88788,2024,12,14,67
88788,2024,12,15,72.5
88788,2024,12,16,71
88788,2024,12,17,76.5
88788,2024,12,18,73.5
88788,2024,12,19,70.5
88788,2024,12,20,62
88788,2024,12,21,54
88788,2024,12,22,57.5
88788,2024,12,23,64.5
88788,2024,12,24,65.5
88788,2024,12,25,61
88788,2024,12,26,69.5
88788,2024,12,27,71.5
88788,2024,12,28,73
88788,2024,12,29,73.5
88788,2024,12,30,71.5
88788,2024,12,31,72.5
