COOPID, YEAR, MONTH, DAY, precipitation
88788,2024,4,25,0.00000
88788,2024,4,26,0.00000
88788,2024,4,27,0.00000
88788,2024,4,28,0.00000
88788,2024,4,29,0.00000
88788,2024,4,30,0.00001
88788,2024,5,1,0.00000
88788,2024,5,2,0.17000
88788,2024,5,3,0.00000
88788,2024,5,4,0.00000
88788,2024,5,5,0.00001
88788,2024,5,6,0.00000
88788,2024,5,7,0.00000
88788,2024,5,8,0.00000
88788,2024,5,9,0.00000
88788,2024,5,10,0.00000
88788,2024,5,11,0.00001
88788,2024,5,12,0.00000
88788,2024,5,13,0.00000
88788,2024,5,14,0.29000
88788,2024,5,15,0.57000
88788,2024,5,16,0.00000
88788,2024,5,17,0.00001
88788,2024,5,18,0.00000
88788,2024,5,19,0.00000
88788,2024,5,20,0.00000
88788,2024,5,21,0.04000
88788,2024,5,22,0.00000
88788,2024,5,23,0.00000
88788,2024,5,24,0.00000
88788,2024,5,25,0.00000
88788,2024,5,26,0.00000
88788,2024,5,27,0.00000
88788,2024,5,28,0.00000
88788,2024,5,29,0.00000
88788,2024,5,30,0.00000
88788,2024,5,31,0.00000
88788,2024,6,1,0.00000
88788,2024,6,2,0.00001
88788,2024,6,3,1.55000
88788,2024,6,4,0.00001
88788,2024,6,5,0.00000
88788,2024,6,6,0.00000
88788,2024,6,7,0.00000
88788,2024,6,8,0.00000
88788,2024,6,9,0.00000
88788,2024,6,10,0.02000
88788,2024,6,11,1.68000
88788,2024,6,12,0.25000
88788,2024,6,13,0.89000
88788,2024,6,14,1.80000
88788,2024,6,15,0.15000
88788,2024,6,16,0.89000
88788,2024,6,17,0.00000
88788,2024,6,18,0.00000
88788,2024,6,19,0.10000
88788,2024,6,20,0.00000
88788,2024,6,21,0.05000
88788,2024,6,22,0.16000
88788,2024,6,23,0.00000
88788,2024,6,24,0.02000
88788,2024,6,25,0.01000
88788,2024,6,26,0.10000
88788,2024,6,27,0.09000
88788,2024,6,28,2.87000
88788,2024,6,29,0.74000
88788,2024,6,30,0.54000
88788,2024,7,1,0.00000
88788,2024,7,2,0.00001
88788,2024,7,3,0.27000
88788,2024,7,4,0.05000
88788,2024,7,5,0.26000
88788,2024,7,6,0.94000
88788,2024,7,7,0.07000
88788,2024,7,8,0.05000
88788,2024,7,9,0.02000
88788,2024,7,10,0.00000
88788,2024,7,11,0.13000
88788,2024,7,12,0.50000
88788,2024,7,13,0.00000
88788,2024,7,14,0.37000
88788,2024,7,15,0.01000
88788,2024,7,16,0.00000
88788,2024,7,17,0.00000
88788,2024,7,18,0.06000
88788,2024,7,19,0.40000
88788,2024,7,20,0.01000
88788,2024,7,21,0.00001
88788,2024,7,22,0.05000
88788,2024,7,23,0.39000
88788,2024,7,24,0.29000
88788,2024,7,25,0.69000
88788,2024,7,26,0.00000
88788,2024,7,27,0.00000
88788,2024,7,28,0.26000
88788,2024,7,29,1.29000
88788,2024,7,30,0.11000
88788,2024,7,31,2.61000
88788,2024,8,1,0.44000
88788,2024,8,2,1.23000
88788,2024,8,3,0.07000
88788,2024,8,4,4.85000
88788,2024,8,5,2.12000
88788,2024,8,6,0.01000
88788,2024,8,7,0.00001
88788,2024,8,8,0.00000
88788,2024,8,9,0.07000
88788,2024,8,10,0.01000
88788,2024,8,11,0.12000
88788,2024,8,12,0.03000
88788,2024,8,13,0.00000
88788,2024,8,14,0.34000
88788,2024,8,15,0.54000
88788,2024,8,16,0.00001
88788,2024,8,17,0.00000
88788,2024,8,18,0.00000
88788,2024,8,19,0.00000
88788,2024,8,20,0.10000
88788,2024,8,21,0.00000
88788,2024,8,22,2.64000
88788,2024,8,23,0.06000
88788,2024,8,24,0.06000
88788,2024,8,25,0.41000
88788,2024,8,26,3.16000
88788,2024,8,27,0.00000
88788,2024,8,28,1.49000
88788,2024,8,29,0.00001
88788,2024,8,30,0.03000
88788,2024,8,31,0.00000
88788,2024,9,1,0.03000
88788,2024,9,2,0.32000
88788,2024,9,3,4.67000
88788,2024,9,4,3.63000
88788,2024,9,5,0.58000
88788,2024,9,6,0.00000
88788,2024,9,7,0.00000
88788,2024,9,8,0.01000
88788,2024,9,9,0.00000
88788,2024,9,10,0.00000
88788,2024,9,11,0.01000
88788,2024,9,12,0.32000
88788,2024,9,13,0.08000
88788,2024,9,14,0.08000
88788,2024,9,15,0.01000
88788,2024,9,16,0.00000
88788,2024,9,17,0.00000
88788,2024,9,18,0.00000
88788,2024,9,19,0.61000
88788,2024,9,20,0.20000
88788,2024,9,21,0.00000
88788,2024,9,22,0.00000
88788,2024,9,23,0.00000
88788,2024,9,24,0.00001
88788,2024,9,25,0.60000
88788,2024,9,26,1.65000
88788,2024,9,27,0.41000
88788,2024,9,28,0.04000
88788,2024,9,29,0.10000
88788,2024,9,30,0.00000
88788,2024,10,1,0.31000
88788,2024,10,2,0.00000
88788,2024,10,3,0.75000
88788,2024,10,4,0.05000
88788,2024,10,5,0.00000
88788,2024,10,6,0.81000
88788,2024,10,7,0.16000
88788,2024,10,8,0.31000
88788,2024,10,9,11.43000
88788,2024,10,10,0.30000
88788,2024,10,11,0.00000
88788,2024,10,12,0.00000
88788,2024,10,13,0.00000
88788,2024,10,14,0.00000
88788,2024,10,15,0.00000
88788,2024,10,16,0.00000
88788,2024,10,17,0.00000
88788,2024,10,18,0.00000
88788,2024,10,19,0.00000
88788,2024,10,20,0.04000
88788,2024,10,21,0.00000
88788,2024,10,22,0.00000
88788,2024,10,23,0.00000
88788,2024,10,24,0.00000
88788,2024,10,25,0.00000
88788,2024,10,26,0.00000
88788,2024,10,27,0.00000
88788,2024,10,28,0.00000
88788,2024,10,29,0.00000
88788,2024,10,30,0.12000
88788,2024,10,31,0.00000
88788,2024,11,1,0.00000
88788,2024,11,2,0.00000
88788,2024,11,3,0.15000
88788,2024,11,4,0.08000
88788,2024,11,5,0.12000
88788,2024,11,6,0.25000
88788,2024,11,7,0.00001
88788,2024,11,8,0.00000
88788,2024,11,9,0.00000
88788,2024,11,10,0.00000
88788,2024,11,11,0.00000
88788,2024,11,12,0.00000
88788,2024,11,13,0.00000
88788,2024,11,14,0.00000
88788,2024,11,15,0.00000
88788,2024,11,16,0.00000
88788,2024,11,17,0.00000
88788,2024,11,18,0.00000
88788,2024,11,19,0.00000
88788,2024,11,20,0.56000
88788,2024,11,21,0.00000
88788,2024,11,22,0.00000
88788,2024,11,23,0.00000
88788,2024,11,24,0.00000
88788,2024,11,25,0.00000
88788,2024,11,26,0.00000
88788,2024,11,27,0.00000
88788,2024,11,28,0.08000
88788,2024,11,29,0.70000
88788,2024,11,30,0.00000
88788,2024,12,1,0.00000
88788,2024,12,2,0.00000
88788,2024,12,3,0.00000
88788,2024,12,4,0.00000
88788,2024,12,5,0.00000
88788,2024,12,6,0.00000
88788,2024,12,7,0.00000
88788,2024,12,8,0.00000
88788,2024,12,9,0.00000
88788,2024,12,10,0.00000
88788,2024,12,11,0.09000
88788,2024,12,12,0.00000
88788,2024,12,13,0.00000
88788,2024,12,14,0.00000
88788,2024,12,15,0.00000
88788,2024,12,16,0.00000
88788,2024,12,17,0.00000
88788,2024,12,18,0.00000
88788,2024,12,19,0.00000
88788,2024,12,20,0.00000
88788,2024,12,21,0.00000
88788,2024,12,22,0.00000
88788,2024,12,23,0.00000
88788,2024,12,24,0.00000
88788,2024,12,25,0.00000
88788,2024,12,26,0.00000
88788,2024,12,27,0.00000
88788,2024,12,28,0.00000
88788,2024,12,29,0.28000
88788,2024,12,30,0.00000
88788,2024,12,31,0.41000
